,CABLE-POP,CLASSIC,CLM5.0,DLEM,IBIS,ISAM,ISBA-CTRIP,JSBACH,JULES,LPJ-GUESS,LPX-Bern,ORCHIDEE,SDGVM,VISIT-NIES
1981,2.8653421,4.210728,0.34852797,-4.409518,-4.5705953,0.73828244,1.1962738,0.34779343,7.0123754,0.15789267,1.7178246,5.9163046,6.905116,-6.0514374
1982,2.9825642,3.4730718,0.42875803,-4.3615465,-2.493009,0.87525934,0.9072238,0.34654015,7.3198447,0.042116247,1.7583326,6.1349273,7.278836,-6.3116765
1983,3.1625266,2.943266,0.12024784,-4.906826,-4.0598593,0.9932644,1.0486754,0.3673756,7.4039726,0.13451447,1.907905,6.438402,7.0656095,-6.519965
1984,3.2049673,4.604805,0.6462825,-4.560384,-4.2304025,0.89677083,1.1004107,0.38159588,7.52802,0.26064613,1.8223904,6.3549585,7.428099,-6.2615485
1985,3.263206,4.8183165,0.3527118,-4.7879734,-3.9213328,1.127079,1.15581,0.36040935,7.4575086,0.15307447,1.9076303,6.386654,7.2826605,-6.317944
1986,3.2601202,2.7352042,0.23175128,-5.068293,-4.488559,0.7802909,1.0124384,0.3903601,7.5103364,0.18031918,1.815457,6.360776,7.1986365,-6.365156
1987,3.3558207,4.557716,0.21135311,-4.71049,-4.4523077,1.2988188,1.0067146,0.37566635,7.653057,0.19154726,1.8786283,6.252583,7.5529857,-6.492163
1988,3.4896572,4.386363,0.22595054,-5.163173,-6.7506084,1.0713196,1.1057352,0.39085677,7.7333302,0.047209695,1.9853973,6.0296645,7.529413,-6.3448415
1989,3.36361,2.6291049,0.7498911,-5.2369184,-4.9024315,1.33096,0.9297528,0.39944792,7.813873,0.04376947,1.9098935,6.4059267,7.5484676,-6.3359256
1990,3.5976377,4.0512776,0.70253086,-5.28447,-5.3210025,1.1348224,1.0328177,0.41118133,7.765355,0.036613636,1.9934493,6.382085,7.421458,-6.222406
1991,3.539091,5.360142,0.5105674,-4.9364667,-4.348666,1.392327,1.0875549,0.39155504,7.9839034,0.06869381,2.0222898,6.194905,7.532563,-6.4375577
1992,3.9222724,4.050359,0.54320556,-5.3095164,-5.9191275,1.2155534,0.9675108,0.40555638,8.051925,0.11378367,2.0926523,6.4486046,7.818939,-6.425953
1993,3.9212627,5.3159833,0.8972547,-5.0648766,-4.7772717,1.4922391,1.0125284,0.41846743,7.812752,-0.11617196,2.0004122,6.2810783,7.41817,-6.3788085
1994,3.9815326,4.200172,0.49402168,-5.125023,-6.0545497,1.1779867,1.0792896,0.4103071,7.9670653,0.08569888,1.8567144,6.463147,7.6879373,-6.320844
